doi,references_found,citations_found,api,retrieval_timestamp,references_OpenAlex,references_SemanticScholar,references_Overlap,references_OpenAlex_unique,references_SemanticScholar_unique,references_Total_unique,citations_OpenAlex,citations_SemanticScholar,citations_Overlap,citations_OpenAlex_unique,citations_SemanticScholar_unique,citations_Total_unique
10.1080/03004430601119851,31,31,CompositeAPI,2025-07-02T19:34:23.110376+00:00,31,0,0,31,0,31,28,25,22,6,3,31
10.1080/0144929x.2019.1634762,65,9,CompositeAPI,2025-07-02T19:34:27.345948+00:00,65,0,0,65,0,65,8,7,6,2,1,9
10.1016/j.copsyc.2021.12.008,46,65,CompositeAPI,2025-07-02T19:34:32.385037+00:00,46,0,0,46,0,46,64,47,46,18,1,65
10.1207/s15327825mcs0603_3,24,4,CompositeAPI,2025-07-02T19:34:36.710013+00:00,24,0,0,24,0,24,3,3,2,1,1,4
10.1177/2050157914549039,62,74,CompositeAPI,2025-07-02T19:34:40.430008+00:00,62,0,0,62,0,62,70,60,56,14,4,74
10.1037/tmb0000127,0,12,CompositeAPI,2025-07-02T19:34:45.656557+00:00,0,0,0,0,0,0,9,9,6,3,3,12
10.1177/089443930001800411,8,127,CompositeAPI,2025-07-02T19:34:48.430888+00:00,8,0,0,8,0,8,122,104,99,23,5,127
10.1080/16138171.2020.1792072,32,15,CompositeAPI,2025-07-02T19:34:52.435278+00:00,32,0,0,32,0,32,15,12,12,3,0,15
10.1176/appi.prcp.20190015,63,174,CompositeAPI,2025-07-02T19:34:56.448321+00:00,63,61,61,2,0,63,166,142,134,32,8,174
10.1177/1461444818804775,29,77,CompositeAPI,2025-07-02T19:35:02.555670+00:00,29,0,0,29,0,29,73,56,52,21,4,77
10.1080/00140139.2013.820843,63,26,CompositeAPI,2025-07-02T19:35:06.758449+00:00,63,0,0,63,0,63,26,21,21,5,0,26
10.3389/fpsyg.2021.707667,71,29,CompositeAPI,2025-07-02T19:35:13.002434+00:00,67,65,61,6,4,71,25,24,20,5,4,29
10.1080/1369118x.2017.1414865,21,17,CompositeAPI,2025-07-02T19:35:18.245565+00:00,21,0,0,21,0,21,14,12,9,5,3,17
10.1177/1461444817737296,39,39,CompositeAPI,2025-07-02T19:35:22.309329+00:00,39,0,0,39,0,39,38,28,27,11,1,39
10.3389/fpsyg.2023.1094196,51,2,CompositeAPI,2025-07-02T19:35:26.430418+00:00,48,50,47,1,3,51,2,2,2,0,0,2
10.1016/j.chb.2021.106893,44,183,CompositeAPI,2025-07-02T19:35:30.419047+00:00,44,0,0,44,0,44,163,154,134,29,20,183
10.1002/jad.12376,76,2,CompositeAPI,2025-07-02T19:35:35.622194+00:00,76,0,0,76,0,76,2,2,2,0,0,2
10.1007/s11205-025-03523-y,37,0,CompositeAPI,2025-07-02T19:35:41.508390+00:00,37,0,0,37,0,37,0,0,0,0,0,0
10.3389/fpsyt.2022.809745,124,4,CompositeAPI,2025-07-02T19:35:43.946612+00:00,106,118,100,6,18,124,4,4,4,0,0,4
10.1080/15289168.2011.614190,5,3,CompositeAPI,2025-07-02T19:35:50.942646+00:00,5,0,0,5,0,5,2,3,2,0,1,3
10.1186/1471-2458-9-212,64,8,CompositeAPI,2025-07-02T19:35:53.833963+00:00,64,0,0,64,0,64,8,0,0,8,0,8
10.1177/019251383004002008,41,11,CompositeAPI,2025-07-02T19:35:59.181658+00:00,41,0,0,41,0,41,11,8,8,3,0,11
10.1080/1369118x.2016.1164741,33,82,CompositeAPI,2025-07-02T19:36:03.963157+00:00,33,0,0,33,0,33,79,57,54,25,3,82
10.1111/j.1083-6101.2009.01451.x,46,276,CompositeAPI,2025-07-02T19:36:08.288014+00:00,46,0,0,46,0,46,259,230,213,46,17,276
10.1186/s40359-021-00582-x,55,58,CompositeAPI,2025-07-02T19:36:15.004293+00:00,55,0,0,55,0,55,56,30,28,28,2,58
10.1371/journal.pmed.1003212,47,55,CompositeAPI,2025-07-02T19:36:20.164177+00:00,45,47,45,0,2,47,52,47,44,8,3,55
10.1093/jcmc/zmy011,46,6,CompositeAPI,2025-07-02T19:36:24.396023+00:00,46,0,0,46,0,46,6,4,4,2,0,6
10.1080/15205436.2018.1490434,30,147,CompositeAPI,2025-07-02T19:36:29.388781+00:00,30,0,0,30,0,30,136,109,98,38,11,147
2394618024,0,1,CompositeAPI,2025-07-02T19:36:34.220673+00:00,0,0,0,0,0,0,0,1,0,0,1,1
10.1186/s12889-018-5674-4,39,33,CompositeAPI,2025-07-02T19:36:35.621246+00:00,37,36,34,3,2,39,33,22,22,11,0,33
10.1093/sleep/zsaa158,61,18,CompositeAPI,2025-07-02T19:36:39.856974+00:00,61,0,0,61,0,61,18,17,17,1,0,18
10.1177/0022002185016003002,24,14,CompositeAPI,2025-07-02T19:36:45.000887+00:00,24,0,0,24,0,24,12,14,12,0,2,14
10.1111/hcre.12081,83,59,CompositeAPI,2025-07-02T19:36:48.890036+00:00,83,0,0,83,0,83,59,46,46,13,0,59
10.1016/j.envres.2018.10.036,37,110,CompositeAPI,2025-07-02T19:36:55.503957+00:00,37,0,0,37,0,37,108,83,81,27,2,110
10.1037/026968,0,0,CompositeAPI,2025-07-02T19:37:00.567041+00:00,0,0,0,0,0,0,0,0,0,0,0,0
10.1111/dar.13685,52,12,CompositeAPI,2025-07-02T19:37:01.783279+00:00,51,46,45,6,1,52,10,10,8,2,2,12
10.1016/j.rasd.2023.102253,26,7,CompositeAPI,2025-07-02T19:37:09.904688+00:00,26,25,25,1,0,26,7,5,5,2,0,7
10.1016/j.pcl.2024.08.002,53,1,CompositeAPI,2025-07-02T19:37:13.892480+00:00,53,0,0,53,0,53,1,0,0,1,0,1
10.1177/08862605231192584,23,2,CompositeAPI,2025-07-02T19:37:18.815601+00:00,23,0,0,23,0,23,2,2,2,0,0,2
10.1111/sjop.12467,30,16,CompositeAPI,2025-07-02T19:37:21.842550+00:00,30,0,0,30,0,30,15,12,11,4,1,16
10.1080/17482798.2024.2358947,41,0,CompositeAPI,2025-07-02T19:37:25.968784+00:00,36,38,33,3,5,41,0,0,0,0,0,0
10.31820/pt.33.1.2,48,0,CompositeAPI,2025-07-02T19:37:32.507176+00:00,47,43,42,5,1,48,0,0,0,0,0,0
10.1123/pes.20.4.446,0,127,CompositeAPI,2025-07-02T19:37:35.090895+00:00,0,0,0,0,0,0,120,112,105,15,7,127
10.1093/pch/12.8.698,30,5,CompositeAPI,2025-07-02T19:37:38.919200+00:00,30,0,0,30,0,30,5,5,5,0,0,5
10.1016/j.chb.2024.108138,131,6,CompositeAPI,2025-07-02T19:37:42.938583+00:00,119,115,103,16,12,131,4,6,4,0,2,6
10.1177/0002764209331542,26,35,CompositeAPI,2025-07-02T19:37:50.004290+00:00,26,0,0,26,0,26,35,33,33,2,0,35
10.1177/1461444810363452,34,213,CompositeAPI,2025-07-02T19:37:54.418536+00:00,34,0,0,34,0,34,201,153,141,60,12,213
10.1542/peds.2011-1066,116,335,CompositeAPI,2025-07-02T19:38:00.299715+00:00,116,0,0,116,0,116,315,277,257,58,20,335
10.3390/ijerph20043771,59,6,CompositeAPI,2025-07-02T19:38:11.207196+00:00,56,58,55,1,3,59,5,6,5,0,1,6
10.1080/13691180701307461,39,56,CompositeAPI,2025-07-02T19:38:16.221609+00:00,39,0,0,39,0,39,48,51,43,5,8,56
10.1111/bjdp.12429,66,24,CompositeAPI,2025-07-02T19:38:20.353665+00:00,66,0,0,66,0,66,21,21,18,3,3,24
10.4018/ijcbpl.2016100101,25,16,CompositeAPI,2025-07-02T19:38:25.443388+00:00,25,0,0,25,0,25,13,14,11,2,3,16
10.1080/09546553.2021.1908270,0,2,CompositeAPI,2025-07-02T19:38:29.503789+00:00,0,0,0,0,0,0,2,2,2,0,0,2
10.1177/0956797610362670,29,120,CompositeAPI,2025-07-02T19:38:32.139687+00:00,29,0,0,29,0,29,107,96,83,24,13,120
10.1123/jpah.2023-0346,72,11,CompositeAPI,2025-07-02T19:38:37.172785+00:00,72,0,0,72,0,72,10,9,8,2,1,11
10.1007/s11205-008-9414-5,6,8,CompositeAPI,2025-07-02T19:38:42.443707+00:00,6,0,0,6,0,6,8,6,6,2,0,8
10.1016/j.techfore.2017.06.023,114,67,CompositeAPI,2025-07-02T19:38:45.619561+00:00,114,0,0,114,0,114,61,56,50,11,6,67
10.4278/0890-1171-21.4s.353,60,57,CompositeAPI,2025-07-02T19:38:52.715335+00:00,60,0,0,60,0,60,57,0,0,57,0,57
10.1111/%28issn%291651-2227,0,0,CompositeAPI,2025-07-02T19:38:58.260505+00:00,0,0,0,0,0,0,0,0,0,0,0,0
10.1186/s12889-021-11802-9,32,66,CompositeAPI,2025-07-02T19:38:59.518178+00:00,30,29,27,3,2,32,58,54,46,12,8,66
10.1016/j.comppsych.2024.152452,52,10,CompositeAPI,2025-07-02T19:39:04.090038+00:00,50,44,42,8,2,52,10,7,7,3,0,10
10.1007/s12564-010-9127-8,37,4,CompositeAPI,2025-07-02T19:39:08.245212+00:00,37,0,0,37,0,37,3,4,3,0,1,4
10.1016/j.chb.2020.106355,70,12,CompositeAPI,2025-07-02T19:39:12.454933+00:00,66,66,62,4,4,70,12,8,8,4,0,12
2388919292,28,35,CompositeAPI,2025-07-02T19:39:17.524122+00:00,28,0,0,28,0,28,14,31,10,4,21,35
10.1016/j.amepre.2007.07.009,27,123,CompositeAPI,2025-07-02T19:39:21.722151+00:00,27,0,0,27,0,27,117,117,111,6,6,123
10.1016/j.chb.2015.05.026,31,113,CompositeAPI,2025-07-02T19:39:26.700583+00:00,31,0,0,31,0,31,107,88,82,25,6,113
10.1177/1461444820932556,67,12,CompositeAPI,2025-07-02T19:39:31.636329+00:00,67,0,0,67,0,67,12,9,9,3,0,12
10.1089/cpb.2006.9939,35,111,CompositeAPI,2025-07-02T19:39:36.619844+00:00,35,0,0,35,0,35,102,91,82,20,9,111
10.1080/08838151.2019.1689072,45,15,CompositeAPI,2025-07-02T19:39:41.828822+00:00,45,0,0,45,0,45,14,11,10,4,1,15
10.1177/001100008100900412,17,1,CompositeAPI,2025-07-02T19:39:45.989773+00:00,17,0,0,17,0,17,0,1,0,0,1,1
10.1016/j.telpol.2003.07.001,8,140,CompositeAPI,2025-07-02T19:39:47.441234+00:00,8,0,0,8,0,8,131,117,108,23,9,140
10.2196/43388,68,38,CompositeAPI,2025-07-02T19:39:51.535531+00:00,64,61,57,7,4,68,33,24,19,14,5,38
10.1371/journal.pone.0024453,73,95,CompositeAPI,2025-07-02T19:39:56.817042+00:00,69,69,65,4,4,73,90,82,77,13,5,95
10.1001/jamapediatrics.2022.4793,66,41,CompositeAPI,2025-07-02T19:40:02.336789+00:00,66,0,0,66,0,66,40,30,29,11,1,41
10.3390/ijerph16122078,32,100,CompositeAPI,2025-07-02T19:40:07.608002+00:00,32,30,30,2,0,32,98,82,80,18,2,100
10.1515/bejeap-2015-0094,35,27,CompositeAPI,2025-07-02T19:40:11.911064+00:00,35,0,0,35,0,35,12,23,8,4,15,27
10.1177/2055207619844870,37,18,CompositeAPI,2025-07-02T19:40:15.937351+00:00,37,36,36,1,0,37,17,15,14,3,1,18
10.1177/0093650208315979,23,151,CompositeAPI,2025-07-02T19:40:20.133246+00:00,23,0,0,23,0,23,148,108,105,43,3,151
10.1080/10410236.2017.1422103,26,26,CompositeAPI,2025-07-02T19:40:25.083646+00:00,26,0,0,26,0,26,25,23,22,3,1,26
10.1002/9781444302752.ch16,74,7,CompositeAPI,2025-07-02T19:40:29.544612+00:00,74,0,0,74,0,74,6,6,5,1,1,7
10.1016/b978-0-12-817319-0.00010-4,28,2,CompositeAPI,2025-07-02T19:40:35.512822+00:00,28,0,0,28,0,28,1,2,1,0,1,2
10.1111/j.1083-6101.2006.tb00314.x,41,28,CompositeAPI,2025-07-02T19:40:39.529667+00:00,41,0,0,41,0,41,28,24,24,4,0,28
10.1007/s10648-017-9430-6,91,79,CompositeAPI,2025-07-02T19:40:44.092595+00:00,91,0,0,91,0,91,79,0,0,79,0,79
10.1002/soej.12537,16,2,CompositeAPI,2025-07-02T19:40:51.462181+00:00,16,0,0,16,0,16,2,1,1,1,0,2
10.1007/s11205-008-9285-9,18,34,CompositeAPI,2025-07-02T19:40:54.506275+00:00,18,0,0,18,0,18,33,28,27,6,1,34
10.1371/journal.pgph.0004262,60,3,CompositeAPI,2025-07-02T19:40:58.525062+00:00,57,58,55,2,3,60,3,3,3,0,0,3
10.47009/jamp.2023.5.1.149,0,0,CompositeAPI,2025-07-02T19:41:03.534750+00:00,0,0,0,0,0,0,0,0,0,0,0,0
10.1542/peds.2017-2674,6,8,CompositeAPI,2025-07-02T19:41:04.577127+00:00,6,0,0,6,0,6,8,7,7,1,0,8
10.1353/sof.2003.0086,12,123,CompositeAPI,2025-07-02T19:41:07.568188+00:00,12,0,0,12,0,12,115,99,91,24,8,123
10.1016/j.sbspro.2011.10.239,8,9,CompositeAPI,2025-07-02T19:41:12.329679+00:00,8,7,7,1,0,8,9,5,5,4,0,9
10.1073/pnas.1908630116,28,350,CompositeAPI,2025-07-02T19:41:15.268392+00:00,28,0,0,28,0,28,330,214,194,136,20,350
10.1177/0093650210377196,66,208,CompositeAPI,2025-07-02T19:41:21.879605+00:00,66,0,0,66,0,66,198,177,167,31,10,208
10.1006/drev.1994.1002,0,29,CompositeAPI,2025-07-02T19:41:28.802150+00:00,0,0,0,0,0,0,27,21,19,8,2,29
10.1080/17482798.2011.633404,46,77,CompositeAPI,2025-07-02T19:41:31.660116+00:00,46,0,0,46,0,46,71,69,63,8,6,77
10.1177/0267323113476990e,5,28,CompositeAPI,2025-07-02T19:41:35.966061+00:00,5,0,0,5,0,5,27,2,1,26,1,28
10.1016/j.jpubeco.2023.105031,44,5,CompositeAPI,2025-07-02T19:41:39.092455+00:00,36,36,28,8,8,44,3,5,3,0,2,5
10.1016/j.telpol.2012.09.008,36,28,CompositeAPI,2025-07-02T19:41:43.102717+00:00,36,0,0,36,0,36,27,27,26,1,1,28
10.3390/biology11010111,38,7,CompositeAPI,2025-07-02T19:41:47.601529+00:00,36,35,33,3,2,38,7,7,7,0,0,7
10.1016/j.appet.2017.08.018,49,36,CompositeAPI,2025-07-02T19:41:55.050600+00:00,49,0,0,49,0,49,36,30,30,6,0,36
10.1186/s12889-022-14459-0,57,14,CompositeAPI,2025-07-02T19:41:59.223648+00:00,53,53,49,4,4,57,14,11,11,3,0,14
3043600907,0,7,CompositeAPI,2025-07-02T19:42:04.314672+00:00,0,0,0,0,0,0,4,5,2,2,3,7
10.1016/j.chb.2016.04.043,74,225,CompositeAPI,2025-07-02T19:42:07.108860+00:00,74,0,0,74,0,74,213,185,173,40,12,225
10.1177/1555412005281915,5,23,CompositeAPI,2025-07-02T19:42:16.986009+00:00,5,0,0,5,0,5,21,20,18,3,2,23
10.1111/1540-5834.00120,126,471,CompositeAPI,2025-07-02T19:42:20.610245+00:00,126,0,0,126,0,126,382,450,361,21,89,471
2126311508,26,107,CompositeAPI,2025-07-02T19:42:32.802265+00:00,26,0,0,26,0,26,82,93,68,14,25,107
10.1016/j.numecd.2007.07.008,110,525,CompositeAPI,2025-07-02T19:42:37.993350+00:00,110,0,0,110,0,110,500,478,453,47,25,525
10.1177/15270025221085714,17,5,CompositeAPI,2025-07-02T19:42:49.465703+00:00,16,15,14,2,1,17,4,5,4,0,1,5
10.4324/9781351130912-5,1,0,CompositeAPI,2025-07-02T19:42:52.391806+00:00,1,0,0,1,0,1,0,0,0,0,0,0
10.1016/j.lisr.2017.07.002,33,9,CompositeAPI,2025-07-02T19:42:53.744735+00:00,33,0,0,33,0,33,9,7,7,2,0,9
10.1007/s10826-022-02252-x,34,7,CompositeAPI,2025-07-02T19:42:57.796947+00:00,26,32,24,2,8,34,7,6,6,1,0,7
10.1007/s10803-017-3201-6,30,87,CompositeAPI,2025-07-02T19:43:01.717147+00:00,30,0,0,30,0,30,84,61,58,26,3,87
10.1177/08944393241235182,42,1,CompositeAPI,2025-07-02T19:43:05.983623+00:00,39,38,35,4,3,42,1,1,1,0,0,1
10.1016/j.aap.2019.04.017,44,51,CompositeAPI,2025-07-02T19:43:13.047168+00:00,44,0,0,44,0,44,50,44,43,7,1,51
10.17576/jkmjc-2017-3303-15,38,16,CompositeAPI,2025-07-02T19:43:18.321770+00:00,38,0,0,38,0,38,11,12,7,4,5,16
10.1186/1479-5868-11-46,19,34,CompositeAPI,2025-07-02T19:43:22.324769+00:00,18,15,14,4,1,19,32,29,27,5,2,34
10.1016/j.copsyc.2022.101339,38,85,CompositeAPI,2025-07-02T19:43:25.553181+00:00,38,0,0,38,0,38,82,62,59,23,3,85
10.1016/s1728-869x(09)60020-4,42,5,CompositeAPI,2025-07-02T19:43:29.948262+00:00,40,38,36,4,2,42,5,5,5,0,0,5
10.1001/jamapediatrics.2019.1759,43,372,CompositeAPI,2025-07-02T19:43:34.304683+00:00,43,0,0,43,0,43,361,297,286,75,11,372
10.1016/j.tele.2012.02.002,44,27,CompositeAPI,2025-07-02T19:43:41.194711+00:00,44,0,0,44,0,44,26,24,23,3,1,27
10.51866/rv1143,36,41,CompositeAPI,2025-07-02T19:43:45.349209+00:00,34,31,29,5,2,36,39,17,15,24,2,41
10.1108/dpm-04-2019-0125,19,1,CompositeAPI,2025-07-02T19:43:49.526627+00:00,19,0,0,19,0,19,1,0,0,1,0,1
10.1016/j.chb.2017.01.051,59,170,CompositeAPI,2025-07-02T19:43:52.453128+00:00,59,0,0,59,0,59,163,133,126,37,7,170
10.1353/cj.2016.0004,0,0,CompositeAPI,2025-07-02T19:43:58.562675+00:00,0,0,0,0,0,0,0,0,0,0,0,0
10.1177/15270025241240393,29,0,CompositeAPI,2025-07-02T19:44:00.002156+00:00,29,0,0,29,0,29,0,0,0,0,0,0
10.1249/mss.0000000000001002,33,50,CompositeAPI,2025-07-02T19:44:02.461801+00:00,33,0,0,33,0,33,50,40,40,10,0,50
10.1146/annurev.soc.27.1.307,116,1724,CompositeAPI,2025-07-02T19:44:06.727286+00:00,116,0,0,116,0,116,1627,1345,1248,379,97,1724
10.1016/j.infoecopol.2016.01.003,36,98,CompositeAPI,2025-07-02T19:44:30.722531+00:00,36,0,0,36,0,36,98,0,0,98,0,98
10.1177/0894439309334815,17,11,CompositeAPI,2025-07-02T19:44:35.750656+00:00,17,0,0,17,0,17,11,10,10,1,0,11
10.4018/978-1-4666-0315-8.ch026,35,18,CompositeAPI,2025-07-02T19:44:38.788523+00:00,35,0,0,35,0,35,18,0,0,18,0,18
10.1186/1479-5868-7-46,38,191,CompositeAPI,2025-07-02T19:44:42.906693+00:00,37,36,35,2,1,38,180,172,161,19,11,191
10.1016/j.pcl.2024.07.032,70,0,CompositeAPI,2025-07-02T19:44:48.498017+00:00,70,0,0,70,0,70,0,0,0,0,0,0
10.1016/s0148-2963(96)00067-7,22,71,CompositeAPI,2025-07-02T19:44:52.063890+00:00,22,0,0,22,0,22,66,57,52,14,5,71
10.1080/13504851.2018.1528331,13,3,CompositeAPI,2025-07-02T19:44:56.117340+00:00,13,0,0,13,0,13,3,3,3,0,0,3
10.1177/1527002518762551,25,25,CompositeAPI,2025-07-02T19:44:59.009674+00:00,25,0,0,25,0,25,21,21,17,4,4,25
10.1023/a:1006883609105,2,11,CompositeAPI,2025-07-02T19:45:03.100606+00:00,2,0,0,2,0,2,9,9,7,2,2,11
10.1353/foc.0.0000,12,334,CompositeAPI,2025-07-02T19:45:06.456172+00:00,12,0,0,12,0,12,283,300,249,34,51,334
10.1016/j.cjca.2020.04.015,58,6,CompositeAPI,2025-07-02T19:45:12.644020+00:00,58,0,0,58,0,58,5,5,4,1,1,6
10.1001/archpedi.1991.02160090086030,11,110,CompositeAPI,2025-07-02T19:45:17.606605+00:00,11,0,0,11,0,11,100,97,87,13,10,110
10.1186/1479-5868-8-90,44,44,CompositeAPI,2025-07-02T19:45:21.502317+00:00,43,40,39,4,1,44,40,41,37,3,4,44
10.1016/j.smrv.2024.102025,10,1,CompositeAPI,2025-07-02T19:45:25.711645+00:00,10,0,0,10,0,10,1,1,1,0,0,1
10.1177/089443939901700207,4,60,CompositeAPI,2025-07-02T19:45:28.660290+00:00,4,0,0,4,0,4,54,47,41,13,6,60
10.1007/s40279-022-01682-3,60,8,CompositeAPI,2025-07-02T19:45:31.912289+00:00,60,0,0,60,0,60,7,7,6,1,1,8
10.1111/jcc4.12091,34,59,CompositeAPI,2025-07-02T19:45:37.088319+00:00,34,0,0,34,0,34,58,56,55,3,1,59
10.1080/15213269.2024.2400571,57,0,CompositeAPI,2025-07-02T19:45:41.305328+00:00,57,0,0,57,0,57,0,0,0,0,0,0
10.1016/j.chb.2020.106550,60,73,CompositeAPI,2025-07-02T19:45:44.686329+00:00,55,51,46,9,5,60,71,49,47,24,2,73
10.1111/j.1475-682x.1997.tb00432.x,20,11,CompositeAPI,2025-07-02T19:45:49.861873+00:00,20,0,0,20,0,20,10,8,7,3,1,11
10.1177/2167702619898179,27,11,CompositeAPI,2025-07-02T19:45:53.053439+00:00,27,0,0,27,0,27,10,7,6,4,1,11
10.1080/15213269.2016.1257393,55,55,CompositeAPI,2025-07-02T19:45:56.956489+00:00,55,0,0,55,0,55,51,47,43,8,4,55
10.1096/fasebj.26.1_supplement.1011.5,0,0,CompositeAPI,2025-07-02T19:46:02.150671+00:00,0,0,0,0,0,0,0,0,0,0,0,0
10.1542/peds.2016-1758j,31,327,CompositeAPI,2025-07-02T19:46:03.422773+00:00,31,0,0,31,0,31,312,241,226,86,15,327
10.1111/j.1365-277x.2006.00683.x,26,46,CompositeAPI,2025-07-02T19:46:09.971671+00:00,26,0,0,26,0,26,45,33,32,13,1,46
10.1016/j.mhpa.2020.100380,40,39,CompositeAPI,2025-07-02T19:46:14.118430+00:00,40,0,0,40,0,40,38,29,28,10,1,39
10.1016/j.infoecopol.2012.08.002,10,112,CompositeAPI,2025-07-02T19:46:18.497527+00:00,10,0,0,10,0,10,105,63,56,49,7,112
10.1080/23311886.2022.2042113,35,5,CompositeAPI,2025-07-02T19:46:22.348654+00:00,34,34,33,1,1,35,4,3,2,2,1,5
10.1016/j.infoecopol.2021.100927,23,8,CompositeAPI,2025-07-02T19:46:26.364530+00:00,23,0,0,23,0,23,7,5,4,3,1,8
10.21659/rupkatha.v8n4.11,3,1,CompositeAPI,2025-07-02T19:46:30.570503+00:00,1,2,0,1,2,3,1,0,0,1,0,1
10.1080/10720530290100433,12,15,CompositeAPI,2025-07-02T19:46:33.400347+00:00,12,0,0,12,0,12,15,9,9,6,0,15
10.17323/1813-8918-2023-1-62-70,19,2,CompositeAPI,2025-07-02T19:46:36.611388+00:00,19,0,0,19,0,19,2,0,0,2,0,2
10.1207/s15327736me1701_2,18,364,CompositeAPI,2025-07-02T19:46:39.775798+00:00,18,0,0,18,0,18,337,297,270,67,27,364
10.1016/j.tele.2015.06.014,38,89,CompositeAPI,2025-07-02T19:46:46.146801+00:00,38,0,0,38,0,38,85,77,73,12,4,89
10.1177/14614448241301741,59,3,CompositeAPI,2025-07-02T19:46:50.355630+00:00,59,0,0,59,0,59,1,3,1,0,2,3
10.1089/1094931041291303,17,400,CompositeAPI,2025-07-02T19:47:04.692456+00:00,17,0,0,17,0,17,367,340,307,60,33,400
10.1111/j.1083-6101.2007.00368.x,50,644,CompositeAPI,2025-07-02T19:47:12.294612+00:00,50,0,0,50,0,50,608,545,509,99,36,644
10.1123/jpah.6.3.299,0,14,CompositeAPI,2025-07-02T19:47:22.269287+00:00,0,0,0,0,0,0,12,14,12,0,2,14
10.1108/sbm-08-2020-0080,74,5,CompositeAPI,2025-07-02T19:47:26.191240+00:00,74,0,0,74,0,74,5,3,3,2,0,5
10.3305/nh.2013.28.sup5.6924,28,42,CompositeAPI,2025-07-02T19:47:32.656161+00:00,28,0,0,28,0,28,38,37,33,5,4,42
10.1007/s11469-013-9461-2,52,76,CompositeAPI,2025-07-02T19:47:36.890538+00:00,52,0,0,52,0,52,70,63,57,13,6,76
10.1371/journal.pone.0142544,39,42,CompositeAPI,2025-07-02T19:47:41.987735+00:00,38,34,33,5,1,39,36,41,35,1,6,42
10.3390/su12062554,24,17,CompositeAPI,2025-07-02T19:47:46.121945+00:00,24,0,0,24,0,24,17,0,0,17,0,17
10.1016/j.ypmed.2016.08.033,64,26,CompositeAPI,2025-07-02T19:47:50.138271+00:00,62,55,53,9,2,64,24,23,21,3,2,26
10.3389/fpsyg.2020.02224,57,32,CompositeAPI,2025-07-02T19:47:55.671565+00:00,51,53,47,4,6,57,31,23,22,9,1,32
10.1016/j.geoforum.2019.02.010,74,59,CompositeAPI,2025-07-02T19:48:00.614509+00:00,74,0,0,74,0,74,57,42,40,17,2,59
3138176270,15,8,CompositeAPI,2025-07-02T19:48:06.688163+00:00,15,0,0,15,0,15,8,0,0,8,0,8
10.1016/j.crbeha.2023.100140,70,9,CompositeAPI,2025-07-02T19:48:10.046017+00:00,66,65,61,5,4,70,8,8,7,1,1,9
10.1080/15389588.2015.1020422,29,14,CompositeAPI,2025-07-02T19:48:15.169552+00:00,22,25,18,4,7,29,13,13,12,1,1,14
10.1016/s2352-4642(19)30186-5,24,259,CompositeAPI,2025-07-02T19:48:19.083175+00:00,24,0,0,24,0,24,248,180,169,79,11,259
10.1177/0267323198013004003,12,30,CompositeAPI,2025-07-02T19:48:25.332875+00:00,12,0,0,12,0,12,28,27,25,3,2,30
10.4103/jmhhb.jmhhb_165_21,32,3,CompositeAPI,2025-07-02T19:48:28.548819+00:00,32,0,0,32,0,32,3,0,0,3,0,3
10.1136/bmj.l5143,1,1,CompositeAPI,2025-07-02T19:48:32.493266+00:00,1,0,0,1,0,1,1,1,1,0,0,1
10.1002/wps.20820,7,75,CompositeAPI,2025-07-02T19:48:35.346820+00:00,7,0,0,7,0,7,73,59,57,16,2,75
10.3389/fpsyg.2023.1279893,32,1,CompositeAPI,2025-07-02T19:48:38.637971+00:00,32,32,32,0,0,32,1,1,1,0,0,1
10.1080/07448481.2022.2152690,42,7,CompositeAPI,2025-07-02T19:48:42.552401+00:00,42,0,0,42,0,42,6,5,4,2,1,7
10.1080/17482798.2020.1859396,8,3,CompositeAPI,2025-07-02T19:48:46.697023+00:00,8,0,0,8,0,8,2,2,1,1,1,3
10.1037/0012-1649.35.4.912,0,237,CompositeAPI,2025-07-02T19:48:49.627906+00:00,0,0,0,0,0,0,193,202,158,35,44,237
10.1080/08838159909364493,28,58,CompositeAPI,2025-07-02T19:48:53.467936+00:00,28,0,0,28,0,28,53,50,45,8,5,58
10.1177/1461444809341859,58,101,CompositeAPI,2025-07-02T19:48:57.863278+00:00,58,0,0,58,0,58,96,90,85,11,5,101
10.1080/13229400.2022.2040575,25,17,CompositeAPI,2025-07-02T19:49:03.810329+00:00,21,23,19,2,4,25,15,12,10,5,2,17
10.1370/afm.1976,15,148,CompositeAPI,2025-07-02T19:49:06.889020+00:00,15,11,11,4,0,15,141,109,102,39,7,148
10.1007/s10639-023-11638-3,31,7,CompositeAPI,2025-07-02T19:49:11.234368+00:00,31,0,0,31,0,31,7,7,7,0,0,7
10.1080/17461391.2018.1548649,43,40,CompositeAPI,2025-07-02T19:49:15.241721+00:00,43,0,0,43,0,43,39,30,29,10,1,40
